epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,763.603,1.28226,0.84233,1.21361,0.69637,0.81348,0.77575,0.50479,1.28415,0.83602,1.22008,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,1517.96,1.26816,0.8272,1.20404,0.69326,0.82225,0.77619,0.50684,1.27984,0.82042,1.21685,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,2269.46,1.25568,0.80997,1.19747,0.69798,0.82433,0.77496,0.50692,1.27507,0.82092,1.21465,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,3026.46,1.24299,0.78923,1.19156,0.70159,0.82912,0.77735,0.50917,1.27096,0.81347,1.21211,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,3792.01,1.22747,0.77042,1.17764,0.70479,0.82851,0.78023,0.51291,1.26717,0.80638,1.2092,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,4553.08,1.21208,0.75586,1.17059,0.70062,0.83341,0.77868,0.51352,1.26526,0.79856,1.20711,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,5316.92,1.1985,0.73999,1.16173,0.7034,0.83362,0.7787,0.51415,1.26394,0.79282,1.20602,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,6079.9,1.18425,0.72081,1.15321,0.70685,0.83867,0.78019,0.5149,1.26334,0.78756,1.20544,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,6840.07,1.17129,0.70719,1.1486,0.70693,0.83724,0.77978,0.51545,1.26206,0.78408,1.20449,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,7628.46,1.15779,0.69535,1.14015,0.70911,0.8377,0.77983,0.516,1.26152,0.78266,1.20402,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
